place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"ottawa, ontario ",on,45.3249,-75.8108,unauthorized use of parks,$880.00 ,yes,880,1,8,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884808
"ottawa, ontario ",on,45.3265,-75.8125,unauthorized use of parks,$880.00 ,yes,880,1,8,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884809
"ottawa, ontario ",on,45.402731,-75.682183,unauthorized use of parks,$880.00 ,yes,880,1,17,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884810
"ottawa, ontario ",on,45.4014,-75.7302,unauthorized use of parks,$880.00 ,yes,880,1,18,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884811
"ottawa, ontario ",on,45.406,-75.672,unauthorized use of parks,$880.00 ,yes,880,1,17,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884812
"gatineau, quebec",qc,45.5059,-75.812,parking when prohibited due to covid-19,parking ticket $44,yes,44,25,25,individual,may,mrc des collines-de-loutaouais police,unspecified,mostly ontario plates,tickets issued for parking when the parking is only open to people who can get there on foot or bike,https://montrealgazette.com/news/local-news/police-throw-the-ticket-book-at-gatineau-park-parking-offenders/wcm/7523ec0b-1ec0-4f18-a90d-5f48d72a63dc/,https://ottawa.ctvnews.ca/police-to-ontario-drivers-no-parking-in-gatineau-park-during-pandemic-1.4948501
"belleville, ontario",on,44.1628,-77.3832,failure to self-isolate,superior court order requiring them to stay at home,no,,1,1,individual,may,hastings prince edward public health,emergency management and civil protection act,not specified,health unit employees had to obtain a superior court order requiring someone to remain isolated at home,https://www.intelligencer.ca/news/local-news/few-tickets-but-many-covid-19-complaints,
"campbellton, new brunswick",nb,47.9931,-66.6666,"failing to self-isolate, working as a doctor at a hospital, after out-of-province travel","suspended indefinitely, further investigation by the college and rcmp",no,,1,1,individual,may,"vitalit health network, rcmp investigating",health protection act,"man, doctor working at a hospital","2 new coronavirus cases in n.b., doctor connected to outbreak in campbellton suspended",https://globalnews.ca/news/7002459/2-new-cases-doctor-connected-to-outbreak-in-campbellton/,
"waterloo region, ontario",on,43.4758,-80.5438,non-essential business,charges laid,maybe,880,3,3,business,apr,unspecified,emergency management and civil protection act,"nail salon, tattoo parlour, vape shop",three businesses charged for operating a non-essential business,https://kitchener.ctvnews.ca/five-charges-laid-in-region-so-far-over-not-following-emergency-order-1.4900961,
"cambridge, ontario",on,43.3616,-80.3144,gathering at a private residence,fine $750,yes,880,1,1,individual,apr,waterloo regional police service,emergency management and civil protection act,man,a man was charged after a gathering at a private residence where he refused to comply with police demands,https://kitchener.ctvnews.ca/five-charges-laid-in-region-so-far-over-not-following-emergency-order-1.4900961,https://kitchener.ctvnews.ca/demand-on-police-service-drops-as-crime-shifts-because-of-pandemic-1.4897299
northwest territories,nwt,64.8255,-124.8457,"refusing to stop at a border checkpoint; operating a stolen, uninsured, and unregistered vehicle; cannabis offense","summary offence ticket $1725, vehicle impounded",yes,1725,1,1,individual,jun,royal canadian mounted police,public health order,"25-year-old man driving a stolen, uninsured, and unregistered vehicle",a man was charged after failing to stop at a border checkpoint,https://www.cbc.ca/news/canada/north/first-fine-covid-19-nwt-1.5608293,
"longueuil, quebec",qc,45.5369,-73.5107,unspecified,fine $1546,yes,1546,69,69,individual,jun,service de police de l'agglomration de longueuil,health protection act,not specified,69 additional tickets issued in longueuil,https://www.tvanouvelles.ca/2020/06/07/la-police-de-la-covid-19-est-tolerante-et-parfois-confuse-1,
"montreal, quebec",qc,45.5017,-73.5673,unspecified,charges laid,yes,1546,321,321,individual,jun,service de police de la ville de montral,public health act,not specified,321 additional charges laid by service de police de la ville de montral,https://www.tvanouvelles.ca/2020/06/07/la-police-de-la-covid-19-est-tolerante-et-parfois-confuse-1,
"ottawa, ontario",on,45.42719,-75.691366,allowing customers to use patio for take-out,fine $880,yes,880,1,1,business,jun,ottawa by-law officers,emergency management and civil protection act,pizzeria and bar,a restaurant in ottawa's byward market says it's been fined $880 after allowing customers to use its patio over the weekend,https://www.cbc.ca/news/canada/ottawa/byward-restaurant-patio-fine-1.5602996,https://ottawa.ctvnews.ca/restaurant-in-ottawa-s-byward-market-fined-for-opening-patio-during-pandemic-1.4973753
"waterloo, ontario",on,43.4643,-80.5204,more than 5 people gathered at a private residence,fine $880,yes,880,1,1,individual,jun,unspecified,emergency management and civil protection act,not specified,charge laid after a gathering of more than 5 people at a residence,https://kitchener.ctvnews.ca/hair-salon-private-gatherings-prompt-emergency-order-charges-in-waterloo-region-1.4971251,
"kitchener, ontario",on,43.4516,-80.4925,gathering of more than 5 people at a private residence,fine $880,yes,880,1,1,individual,jun,unspecified,emergency management and civil protection act,not specified,a charge was laid for a gathering of more than 5 people at a private residence,https://kitchener.ctvnews.ca/hair-salon-private-gatherings-prompt-emergency-order-charges-in-waterloo-region-1.4971251,
"brampton, ontario",on,43.7315,-79.7624,residential parties or social gathering of more than five people not of the same family,fine $880 minimum,yes,880,19,19,individual,jun,brampton by-law officers,emergency management and civil protection act,not specified,19 charges laid for residential parties or social gathering of more than five people not of the same family,https://www.bramptonguardian.com/news-story/10014639-city-gets-470-complaints-for-residential-parties-in-brampton-in-two-weeks-in-spite-of-physical-distancing-laws/,
"brampton, ontario",on,43.7315,-79.7624,using shuttered playground equipment,fine $880,yes,880,2,2,individual,jun,brampton by-law officers,emergency management and civil protection act,not specified,2 charges after using shuttered playground equipment,https://www.bramptonguardian.com/news-story/10014639-city-gets-470-complaints-for-residential-parties-in-brampton-in-two-weeks-in-spite-of-physical-distancing-laws/,
"brampton, ontario",on,43.7315,-79.7624,a group of 9 playing cricket,fine,yes,880,9,9,individual,jun,brampton by-law officers,emergency management and civil protection act,a group of 9 playing cricket,9 people were issued fines after playing cricket together,https://www.bramptonguardian.com/news-story/10014639-city-gets-470-complaints-for-residential-parties-in-brampton-in-two-weeks-in-spite-of-physical-distancing-laws/,
"winnipeg, manitoba",mb,49.8971,-97.1681,defying public health orders,fine $486,yes,486,1,1,business,jun,unspecified,public health act,body rub parlour,a winnipeg-based body rub parlour has been fined for breaking public health orders amid the covid-19 pandemic,https://winnipeg.ctvnews.ca/winnipeg-body-rub-parlour-fined-for-defying-public-health-orders-1.4968837,
"minden, ontario",on,44.91792,-78.721626,opening dining hall of a restaurant,fine $880,yes,880,1,1,business,jun,ontario provincial police,emergency management and civil protection act,diner,ontario restaurant fined for opening dining hall for a few hours to serve 20 customers breakfast,https://www.thechronicleherald.ca/opinion/national-perspectives/warmington-ontario-eatery-fined-for-trying-to-save-my-business-456219/,
"toronto, ontario",on,43.6532,-79.3832,"using a closed park or amenities, or not physically distancing in a park",ticket,yes,880,22,22,individual,jun,covid-19 enforcement team,emergency management and civil protection act,not specified,"22 tickets issued for using a closed park or amenities, or not physically distancing in a park",https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-34/,
"toronto, ontario",on,43.6532,-79.3832,not physically distancing,ticket,yes,880,4,4,individual,may,covid-19 enforcement team,emergency management and civil protection act,not specified,4 tickets issued for not physically distancing,https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-21/,
"toronto, ontario",on,43.6532,-79.3832,"using closed parks or amenities, or not physically distancing in a park",ticket,yes,880,46,46,individual,jun,toronto by-law officers,emergency management and civil protection act,not specified,"by-law issued 46 tickets for using closed parks or amenities, or not physically distancing in a park",https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-37/,
"toronto, ontario",on,43.6532,-79.3832,not physically distancing,ticket,yes,880,5,5,individual,jun,toronto police service and toronto by-law officers,emergency management and civil protection act,not specified,toronto police and by-law issued 5 tickets for not physically distancing,https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-36/ ,
"toronto, ontario",on,43.6532,-79.3832,not physically distancing,ticket,yes,880,36,36,individual,jun,toronto by-law officers,emergency management and civil protection act,not specified,toronto by-law officers issued 36 tickets for not physically distancing,https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-35/,
"toronto, ontario",on,43.6532,-79.3832,"using closed parks of amenities, or not physically distancing in park",ticket,yes,880,21,21,individual,may,toronto police service and toronto by-law officers,emergency management and civil protection act,not specified,"toronto police and by-law issued 21 tickets for using closed parks of amenities, or not physically distancing in park",https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-25/,
"toronto, ontario",on,43.706,-79.2316,entering restricted areas at scarborough bluffs park,ticket,yes,880,10,10,individual,may,toronto by-law officers,emergency management and civil protection act,not specified,10 tickets were issued by toronto by-law for entering restricted areas at scarborough bluffs park,https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-20,
"toronto, ontario",on,43.6532,-79.3832,not physically distancing,ticket,yes,880,1,1,individual,may,toronto police service,emergency management and civil protection act,not specified,one individual was ticketed by police for not physically distancing,https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-12/,
"toronto, ontario",on,43.6532,-79.3832,operating a non-essential business,ticket,yes,880,52,52,business,may,covid-19 enforcement team,emergency management and civil protection act,not specified,52 additional businesses were ticketed for operating a non-essential business,https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-12/,
"woodside, new brunswick",nb,46.09034,-64.11755,unspecified,fine $292.50,,,1,1,individual,apr,provincial enforcement officers,emergency measures act,not specified,unspecified.,https://www.cbc.ca/news/canada/new-brunswick/covid-tickets-nb-1.5622280,
"beaumont, new brunswick",nb,45.8847,-64.575,unspecified,fine $292.50,,,1,1,individual,apr,provincial enforcement officers,emergency measures act,not specified,unspecified,https://www.cbc.ca/news/canada/new-brunswick/covid-tickets-nb-1.5622280,
"barachois, new brunswick",nb,46.2243,-64.4225,unspecified,fine $292.50,,,1,1,individual,apr,provincial enforcement officers,emergency measures act,not specified,unspecified,https://www.cbc.ca/news/canada/new-brunswick/covid-tickets-nb-1.5622280,
"collette, new brunswick",nb,46.7829,-65.4463,unspecified,fine $292.50,,,1,1,individual,apr,provincial enforcement officers,emergency measures act,not specified,unspecified,https://www.cbc.ca/news/canada/new-brunswick/covid-tickets-nb-1.5622280,
"matapedia, new brunswick",nb,47.768,-66.6893,unspecified,fine $292.50,,,1,1,individual,apr,provincial enforcement officers,emergency measures act,not specified,unspecified,https://www.cbc.ca/news/canada/new-brunswick/covid-tickets-nb-1.5622280,
"campbellton, new brunswick",nb,48.0074,-66.6722,unspecified,fine $292.50,,,1,1,individual,apr,provincial enforcement officers,emergency measures act,not specified,unspecified,https://www.cbc.ca/news/canada/new-brunswick/covid-tickets-nb-1.5622280,
"campbellton, new brunswick",nb,48.0074,-66.6722,unspecified,fine $292.50,,,1,1,individual,apr,provincial enforcement officers,emergency measures act,not specified,unspecified,https://www.cbc.ca/news/canada/new-brunswick/covid-tickets-nb-1.5622280,
"campbellton, new brunswick",nb,48.0074,-66.6722,unspecified,fine $292.50,,,1,1,individual,apr,provincial enforcement officers,emergency measures act,not specified,unspecified,https://www.cbc.ca/news/canada/new-brunswick/covid-tickets-nb-1.5622280,
